name,text,manaCost,type,rarity,games_in_hand,win_rate,set_code
The Dawning Archaic,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Reach
Whenever The Dawning Archaic attacks, you may cast target instant or sorcery card from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.",{10},Legendary Creature — Avatar,mythic,10289,0.538,SOS
Rancorous Archaic,"Reach, trample
Converge — This creature enters with a +1/+1 counter on it for each color of mana spent to cast it.",{5},Creature — Avatar,common,39543,0.536,SOS
Sundering Archaic,"Converge — When this creature enters, exile target nonland permanent an opponent controls with mana value less than or equal to the number of colors of mana spent to cast this creature.
{2}: Put target card from a graveyard on the bottom of its owner's library.",{6},Creature — Avatar,uncommon,67627,0.588,SOS
Together as One,"Converge — Target player draws X cards, Together as One deals X damage to any target, and you gain X life, where X is the number of colors of mana spent to cast this spell.",{6},Sorcery,rare,37273,0.656,SOS
Transcendent Archaic,"Vigilance
Converge — When this creature enters, you may draw X cards, where X is the number of colors of mana spent to cast this spell. If you draw one or more cards this way, discard two cards.",{7},Creature — Avatar,uncommon,43681,0.57,SOS
Ajani's Response,"This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.",{4}{W},Instant,common,132194,0.576,SOS
Antiquities on the Loose,"Create two 2/2 red and white Spirit creature tokens. Then if this spell was cast from anywhere other than your hand, put a +1/+1 counter on each Spirit you control.
Flashback {4}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{1}{W}{W},Sorcery,rare,32903,0.642,SOS
Ascendant Dustspeaker,"Flying
When this creature enters, put a +1/+1 counter on another target creature you control.
At the beginning of combat on your turn, exile up to one target card from a graveyard.",{4}{W},Creature — Orc Cleric,common,77646,0.553,SOS
Daydream,"Exile target creature you control, then return that card to the battlefield under its owner's control with a +1/+1 counter on it.
Flashback {2}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{W},Sorcery,uncommon,9347,0.488,SOS
Dig Site Inventory,"Put a +1/+1 counter on target creature you control. It gains vigilance until end of turn.
Flashback {W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{W},Sorcery,common,86001,0.554,SOS
Eager Glyphmage,"When this creature enters, create a 1/1 white and black Inkling creature token with flying.",{3}{W},Creature — Cat Cleric,common,85268,0.56,SOS
"Ennis, Debate Moderator","When Ennis enters, exile up to one other target creature you control. Return that card to the battlefield under its owner's control at the beginning of the next end step.
At the beginning of your end step, if one or more cards were put into exile this turn, put a +1/+1 counter on Ennis.",{1}{W},Legendary Creature — Human Cleric,uncommon,21283,0.5,SOS
Erode,"Destroy target creature or planeswalker. Its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle.",{W},Instant,rare,20787,0.562,SOS
Graduation Day,"Repartee — Whenever you cast an instant or sorcery spell that targets a creature, put a +1/+1 counter on target creature you control.",{W},Enchantment,uncommon,15558,0.51,SOS
Group Project,"Create a 2/2 red and white Spirit creature token.
Flashback—Tap three untapped creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{1}{W},Sorcery,uncommon,56750,0.567,SOS
Harsh Annotation,Destroy target creature. Its controller creates a 1/1 white and black Inkling creature token with flying.,{1}{W},Instant,uncommon,8436,0.5,SOS
Informed Inkwright,"Vigilance
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, create a 1/1 white and black Inkling creature token with flying.",{1}{W},Creature — Human Wizard,rare,29611,0.615,SOS
Inkshape Demonstrator,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, this creature gets +1/+0 and gains lifelink until end of turn.",{3}{W},Creature — Elephant Cleric,uncommon,46004,0.565,SOS
Interjection,Target creature gets +2/+2 and gains first strike until end of turn.,{W},Instant,common,35848,0.556,SOS
Owlin Historian,"Flying
When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Whenever one or more cards leave your graveyard, this creature gets +1/+1 until end of turn.",{2}{W},Creature — Bird Cleric,common,84930,0.554,SOS
Practiced Offense,"Put a +1/+1 counter on each creature target player controls. Target creature gains your choice of double strike or lifelink until end of turn.
Flashback {1}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{2}{W},Sorcery,rare,32527,0.647,SOS
Primary Research,"When this enchantment enters, return target nonland permanent card with mana value 3 or less from your graveyard to the battlefield.
At the beginning of your end step, if a card left your graveyard this turn, draw a card.",{4}{W},Enchantment,uncommon,40061,0.549,SOS
Rapier Wit,"Tap target creature. If it's your turn, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Draw a card.",{1}{W},Instant,common,36809,0.542,SOS
Rehearsed Debater,"Vigilance
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, this creature gets +1/+1 until end of turn.",{2}{W},Creature — Djinn Bard,common,64884,0.547,SOS
Restoration Seminar,"Return target nonland permanent card from your graveyard to the battlefield.
Paradigm (Then exile this spell. After you first resolve a spell with this name, you may cast a copy of it from exile without paying its mana cost at the beginning of each of your first main phases.)",{5}{W}{W},Sorcery — Lesson,mythic,11777,0.574,SOS
Shattered Acolyte,"Lifelink
{1}, Sacrifice this creature: Destroy target artifact or enchantment.",{1}{W},Creature — Dwarf Warlock,common,98890,0.559,SOS
Soaring Stoneglider,"As an additional cost to cast this spell, exile two cards from your graveyard or pay {1}{W}.
Flying, vigilance",{2}{W},Creature — Elephant Cleric,uncommon,37255,0.537,SOS
Stand Up for Yourself,Destroy target creature with power 3 or greater.,{2}{W},Instant,uncommon,55710,0.57,SOS
Stirring Hopesinger,"Flying, lifelink
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, put a +1/+1 counter on each creature you control.",{2}{W},Creature — Bird Bard,rare,30492,0.627,SOS
Stone Docent,"{W}, Exile this card from your graveyard: You gain 2 life. Surveil 1. Activate only as a sorcery. (Look at the top card of your library. You may put it into your graveyard.)",{1}{W},Creature — Spirit Chimera,common,130580,0.565,SOS
Summoned Dromedary,"Vigilance
{1}{W}: Return this card from your graveyard to your hand. Activate only as a sorcery.",{3}{W},Creature — Spirit Camel,uncommon,36610,0.542,SOS
Banishing Betrayal,Return target nonland permanent to its owner's hand. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),{1}{U},Instant,common,85116,0.552,SOS
Brush Off,"This spell costs {1}{U} less to cast if it targets an instant or sorcery spell.
Counter target spell.",{2}{U}{U},Instant,uncommon,58313,0.58,SOS
Chase Inspiration,Target creature you control gets +0/+3 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.),{U},Instant,common,29173,0.543,SOS
Deluge Virtuoso,"When this creature enters, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Opus — Whenever you cast an instant or sorcery spell, this creature gets +1/+1 until end of turn. If five or more mana was spent to cast that spell, this creature gets +2/+2 until end of turn instead.",{2}{U},Creature — Human Wizard,common,46936,0.519,SOS
Divergent Equation,"Return up to X target instant and/or sorcery cards from your graveyard to your hand.
Exile Divergent Equation.",{X}{X}{U},Instant,uncommon,63516,0.58,SOS
Echocasting Symposium,"Target player creates a token that's a copy of target creature you control.
Paradigm (Then exile this spell. After you first resolve a spell with this name, you may cast a copy of it from exile without paying its mana cost at the beginning of each of your first main phases.)",{4}{U}{U},Sorcery — Lesson,mythic,13079,0.579,SOS
Essence Scatter,Counter target creature spell.,{1}{U},Instant,common,141108,0.57,SOS
Exhibition Tidecaller,"Opus — Whenever you cast an instant or sorcery spell, target player mills three cards. If five or more mana was spent to cast that spell, that player mills ten cards instead.",{U},Creature — Djinn Wizard,rare,32444,0.603,SOS
Flow State,"Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order. If there is an instant card and a sorcery card in your graveyard, instead put two of them into your hand and the rest on the bottom of your library in any order.",{1}{U},Sorcery,uncommon,60195,0.568,SOS
Fractal Anomaly,"Create a 0/0 green and blue Fractal creature token and put X +1/+1 counters on it, where X is the number of cards you've drawn this turn.",{U},Instant,uncommon,4494,0.485,SOS
Fractalize,"Until end of turn, target creature becomes a green and blue Fractal with base power and toughness each equal to X plus 1. (It loses all other colors and creature types.)",{X}{U},Instant,uncommon,8904,0.514,SOS
Homesickness,"Target player draws two cards. Tap up to two target creatures. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)",{4}{U}{U},Instant,uncommon,44706,0.558,SOS
Hydro-Channeler,"{T}: Add {U}. Spend this mana only to cast an instant or sorcery spell.
{1}, {T}: Add one mana of any color. Spend this mana only to cast an instant or sorcery spell.",{1}{U},Creature — Merfolk Wizard,common,107951,0.548,SOS
Mana Sculpt,"Counter target spell. If you control a Wizard, add an amount of {C} equal to the amount of mana spent to cast that spell at the beginning of your next main phase.",{1}{U}{U},Instant,rare,25449,0.579,SOS
Mathemagics,"Target player draws 2ˣ cards. (2⁰ = 1, 2¹ = 2, 2² = 4, 2³ = 8, 2⁴ = 16, 2⁵ = 32, and so on.)",{X}{X}{U}{U},Sorcery,mythic,16682,0.619,SOS
Matterbending Mage,"When this creature enters, return up to one other target creature to its owner's hand.
Whenever you cast a spell with {X} in its mana cost, this creature can't be blocked this turn.",{2}{U},Creature — Human Wizard,uncommon,66844,0.582,SOS
Muse Seeker,"Opus — Whenever you cast an instant or sorcery spell, draw a card. Then discard a card unless five or more mana was spent to cast that spell.",{1}{U},Creature — Elf Wizard,uncommon,36358,0.526,SOS
Muse's Encouragement,"Create a 3/3 blue and red Elemental creature token with flying.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",{4}{U},Instant,common,46560,0.526,SOS
"Orysa, Tide Choreographer","This spell costs {3} less to cast if creatures you control have total toughness 10 or greater.
When Orysa enters, draw two cards.",{4}{U},Legendary Creature — Merfolk Bard,uncommon,24424,0.533,SOS
Pensive Professor,"Increment (Whenever you cast a spell, if the amount of mana you spent is greater than this creature's power or toughness, put a +1/+1 counter on this creature.)
Whenever one or more +1/+1 counters are put on this creature, draw a card.",{1}{U}{U},Creature — Human Wizard,rare,28232,0.586,SOS
Procrastinate,"Tap target creature. Put twice X stun counters on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",{X}{U},Sorcery,common,43516,0.522,SOS
Quick Study,Draw two cards.,{2}{U},Instant,common,89565,0.561,SOS
Run Behind,"This spell costs {1} less to cast if it targets an attacking creature.
Target creature's owner puts it on their choice of the top or bottom of their library.",{3}{U},Instant,common,125311,0.571,SOS
