name,text,manaCost,type,rarity,keywords,games_in_hand,win_rate
The Dawning Archaic,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Reach
Whenever The Dawning Archaic attacks, you may cast target instant or sorcery card from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead.",{10},Legendary Creature — Avatar,mythic,['Reach'],10289,0.538
Rancorous Archaic,"Reach, trample
Converge — This creature enters with a +1/+1 counter on it for each color of mana spent to cast it.",{5},Creature — Avatar,common,"['Converge', 'Reach', 'Trample']",39543,0.536
Sundering Archaic,"Converge — When this creature enters, exile target nonland permanent an opponent controls with mana value less than or equal to the number of colors of mana spent to cast this creature.
{2}: Put target card from a graveyard on the bottom of its owner's library.",{6},Creature — Avatar,uncommon,['Converge'],67627,0.588
Together as One,"Converge — Target player draws X cards, Together as One deals X damage to any target, and you gain X life, where X is the number of colors of mana spent to cast this spell.",{6},Sorcery,rare,['Converge'],37273,0.656
Transcendent Archaic,"Vigilance
Converge — When this creature enters, you may draw X cards, where X is the number of colors of mana spent to cast this spell. If you draw one or more cards this way, discard two cards.",{7},Creature — Avatar,uncommon,"['Converge', 'Vigilance']",43681,0.57
Ajani's Response,"This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.",{4}{W},Instant,common,,132194,0.576
Antiquities on the Loose,"Create two 2/2 red and white Spirit creature tokens. Then if this spell was cast from anywhere other than your hand, put a +1/+1 counter on each Spirit you control.
Flashback {4}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{1}{W}{W},Sorcery,rare,['Flashback'],32903,0.642
Ascendant Dustspeaker,"Flying
When this creature enters, put a +1/+1 counter on another target creature you control.
At the beginning of combat on your turn, exile up to one target card from a graveyard.",{4}{W},Creature — Orc Cleric,common,['Flying'],77646,0.553
Daydream,"Exile target creature you control, then return that card to the battlefield under its owner's control with a +1/+1 counter on it.
Flashback {2}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{W},Sorcery,uncommon,['Flashback'],9347,0.488
Dig Site Inventory,"Put a +1/+1 counter on target creature you control. It gains vigilance until end of turn.
Flashback {W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{W},Sorcery,common,['Flashback'],86001,0.554
Eager Glyphmage,"When this creature enters, create a 1/1 white and black Inkling creature token with flying.",{3}{W},Creature — Cat Cleric,common,,85268,0.56
"Ennis, Debate Moderator","When Ennis enters, exile up to one other target creature you control. Return that card to the battlefield under its owner's control at the beginning of the next end step.
At the beginning of your end step, if one or more cards were put into exile this turn, put a +1/+1 counter on Ennis.",{1}{W},Legendary Creature — Human Cleric,uncommon,,21283,0.5
Erode,"Destroy target creature or planeswalker. Its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle.",{W},Instant,rare,,20787,0.562
Graduation Day,"Repartee — Whenever you cast an instant or sorcery spell that targets a creature, put a +1/+1 counter on target creature you control.",{W},Enchantment,uncommon,['Repartee'],15558,0.51
Group Project,"Create a 2/2 red and white Spirit creature token.
Flashback—Tap three untapped creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{1}{W},Sorcery,uncommon,['Flashback'],56750,0.567
Harsh Annotation,Destroy target creature. Its controller creates a 1/1 white and black Inkling creature token with flying.,{1}{W},Instant,uncommon,,8436,0.5
Informed Inkwright,"Vigilance
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, create a 1/1 white and black Inkling creature token with flying.",{1}{W},Creature — Human Wizard,rare,"['Repartee', 'Vigilance']",29611,0.615
Inkshape Demonstrator,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, this creature gets +1/+0 and gains lifelink until end of turn.",{3}{W},Creature — Elephant Cleric,uncommon,"['Repartee', 'Ward']",46004,0.565
Interjection,Target creature gets +2/+2 and gains first strike until end of turn.,{W},Instant,common,,35848,0.556
Owlin Historian,"Flying
When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Whenever one or more cards leave your graveyard, this creature gets +1/+1 until end of turn.",{2}{W},Creature — Bird Cleric,common,"['Flying', 'Surveil']",84930,0.554
Practiced Offense,"Put a +1/+1 counter on each creature target player controls. Target creature gains your choice of double strike or lifelink until end of turn.
Flashback {1}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",{2}{W},Sorcery,rare,['Flashback'],32527,0.647
Primary Research,"When this enchantment enters, return target nonland permanent card with mana value 3 or less from your graveyard to the battlefield.
At the beginning of your end step, if a card left your graveyard this turn, draw a card.",{4}{W},Enchantment,uncommon,,40061,0.549
Rapier Wit,"Tap target creature. If it's your turn, put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Draw a card.",{1}{W},Instant,common,,36809,0.542
Rehearsed Debater,"Vigilance
Repartee — Whenever you cast an instant or sorcery spell that targets a creature, this creature gets +1/+1 until end of turn.",{2}{W},Creature — Djinn Bard,common,"['Repartee', 'Vigilance']",64884,0.547
Restoration Seminar,"Return target nonland permanent card from your graveyard to the battlefield.
Paradigm (Then exile this spell. After you first resolve a spell with this name, you may cast a copy of it from exile without paying its mana cost at the beginning of each of your first main phases.)",{5}{W}{W},Sorcery — Lesson,mythic,['Paradigm'],11777,0.574
